"id","hhid","adm3","pack","variety_a","variety_b","variety_c","adm1","gender","age","elevation","lon","lat","planting_date","harverst_date","irrigation","fertilization","slope","vigor_best","vigor_worst","size_best","size_worst","pest_resistance_best","pest_resistance_worst","disease_resistance_best","disease_resistance_worst","drought_resistance_best","drought_resistance_worst","yield_best","yield_worst","market_value_best","market_value_worst","taste_best","taste_worst","overall_best","overall_worst","local_vs_var_a","local_vs_var_b","local_vs_var_c"
"honduras_salvador_rojo_2015_101",30692,"San Ramon","paquete 4","SRS2-36-34","RS 907-28","ALS 0532-6","Citala","F",46,NA,-89.1706664,14.3168939,"2015-09-20","2015-12-09","No","Yes","medium","A","C","A","C","A","C","A","C",NA,NA,"A","B","B","A","B","A","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_102",30719,"San Ramon","paquete 5","RRH 336-28","BRT 103- 182","SJC 730-79","Citala","F",37,NA,-89.1706755,14.3169708,"2015-09-17","2015-12-09","No","Yes","high","C","A","C","A","C","A","C","A",NA,NA,"C","B","C","B","C","B","C","A","Worse","Worse","Worse"
"honduras_salvador_rojo_2015_105",30593,"San Ramon","paquete 8","SJC 730-79","RRH 336-28","ALS 0532-6","Citala","M",40,NA,-89.1706623,14.3169237,"2015-09-16","2015-12-08","No","Yes","high","B","A","B","A","B","A",NA,"A",NA,NA,"B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_106",29072,"Los Gutierrez","paquete 31","RRH 336-28","SJC 730-79","Seda","Dulce Nombre de Maria","M",44,NA,-89.1707777,14.3167015,"2015-09-28","2015-12-23","No","Yes","plain","B","C","B","C","B","C","B","C",NA,NA,"B","A","B","A","A","C","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_107",29090,"Los Gutierrez","paquete 32","SRS2-36-34","BRT 103- 182","MHR 311-17","Dulce Nombre de Maria","F",37,NA,-89.1707915,14.3166787,"2015-09-17","2015-12-07","No","No","plain","C","A","C","A","A","C","C","B",NA,NA,"A","C","A","C",NA,NA,"A","C","Better","Better","Worse"
"honduras_salvador_rojo_2015_111",23294,"Sensenti","paquete 122","MHR 311-17","RRH 336-28","SRS2-36-34","Sensenti","M",53,NA,-88.93878937,14.49418705,"2015-09-30","2015-12-16","No","Yes","plain","A","C","A","C",NA,NA,NA,NA,NA,NA,"A","C","A","C","A","C","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_112",23339,"Sensenti","paquete 123","ALS 0532-6","Seda","BRT 103- 182","Sensenti","M",43,NA,-88.938205,14.4931028,"2015-09-12","2015-12-02","No","Yes","plain","B","A","B","A",NA,NA,"B","C",NA,NA,"C","A","C","B","C","B","C","B","Worse","Worse","Better"
"honduras_salvador_rojo_2015_113",23375,"Sensenti","paquete 126","SRS2-36-34","BRT 103- 182","ALS 0532-6","Sensenti","M",30,NA,-88.93896103,14.49767717,"2015-09-25","2015-12-09","No","Yes","plain","C","A","C","A",NA,NA,"A","C","A","C","A","C","A","C","A","C","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_114",23483,"Sensenti","paquete 131","SJC 730-79","RS 907-28","RS 909-35","Sensenti","M",38,NA,-88.94119263,14.49318986,"2015-09-14","2015-12-01","No","Yes","medium","B","A","B","A",NA,NA,NA,NA,NA,NA,"B","C","B","C","B","C","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_115",23492,"Sensenti","paquete 132","ALS 0532-6","SRS2-36-34","RRH 336-28","Sensenti","M",60,NA,-88.93861771,14.49717859,"2015-10-03","2015-12-28","No","Yes","plain","A","B","A","B",NA,NA,NA,NA,NA,NA,"A","B","B","A","B","A","A","C","Better","Better","Worse"
"honduras_salvador_rojo_2015_118",23465,"Sensenti","paquete 130","Seda","Amadeus 77","BRT 103- 182","Sensenti","M",46,NA,-88.93758774,14.49518423,"2015-10-05","2015-12-23","No","Yes","plain","A","C","A","C","A","B","A","B",NA,NA,"A","B","C","A","B","C","A","B","Better","Worse","Worse"
"honduras_salvador_rojo_2015_121",23438,"Sensenti","paquete 128","RS 909-35","RS 907-28","RRH 336-28","Sensenti","M",48,NA,-88.93690109,14.49618141,"2015-10-03","2016-03-29","No","Yes","plain","C","A","C","A",NA,NA,NA,NA,NA,NA,"B","A","B","C","B","A","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_122",23537,"Sensenti","paquete 134","Seda","RS 907-28","SJC 730-79","Sensenti","M",48,NA,-88.93844604,14.49584902,"2015-10-03","2015-12-28","No","Yes","plain","B","A","B","A",NA,NA,NA,NA,NA,NA,"B","A","B","C","B","C","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_123",99056,"El Moral","paquete 210","Seda","RS 907-28","ALS 0532-6","Sinuapa Ocotepeque","M",53,NA,-89.22409058,14.45994763,"2015-09-08","2015-12-16","No","Yes","plain","C","B","C","A",NA,NA,NA,NA,NA,NA,"B","A",NA,"A","C","A","C","A","Worse","Better","Better"
"honduras_salvador_rojo_2015_124",47612,"El Moral","paquete 205","MHR 311-17","SRS2-36-34","RRH 336-28","Sinuapa Ocotepeque","M",35,NA,-89.22409058,14.42803042,"2015-10-10","2016-01-15","No","Yes","plain","C","A","C","A",NA,NA,NA,NA,NA,NA,"C","B","C","A","C","A","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_125",48026,"El Moral","paquete 201","ALS 0532-6","RRH 336-28","RS 909-35","Sinuapa Ocotepeque","M",40,NA,-89.21859741,14.42803042,"2015-09-12","2015-12-06","No","Yes","plain","A","B","A","B","B","A","B","A","B","A","B","A","B","A","B","A","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_126",47405,"El Moral","paquete 199","RS 907-28","Amadeus 77","RRH 336-28","Sinuapa Ocotepeque","M",63,NA,-89.20211792,14.42936039,"2015-10-15","2015-12-17","No","Yes","medium","C","B","C","B",NA,NA,NA,NA,NA,NA,"C","A","B","A","C","A","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_127",48017,"El Moral","paquete 202","SRS2-36-34","BRT 103- 182","MHR 311-17","Sinuapa Ocotepeque","M",28,NA,-89.21447754,14.42138042,"2015-10-25","2016-03-06","No","Yes","plain","A","B","A","B",NA,NA,NA,NA,NA,NA,"C","A","B","C","C","B","C","A","Better","Better","Better"
"honduras_salvador_rojo_2015_128",47900,"El Moral","paquete 203","RS 907-28","Amadeus 77","Seda","Sinuapa Ocotepeque","M",47,NA,-89.21585083,14.42670043,"2015-10-02","2016-01-12","No","Yes","medium","A","C","A","C","B","A",NA,NA,NA,NA,"A","C","A","C","A","C","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_131",47450,"El Moral","paquete 198","BRT 103- 182","MHR 311-17","ALS 0532-6","Sinuapa Ocotepeque","F",50,NA,-89.20623779,14.42936039,"2015-10-10","2016-01-12","No","No","plain","B","A","B","C",NA,NA,NA,NA,NA,NA,"A","C","A","B","A","C","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_132",47531,"El Moral","paquete 206","BRT 103- 182","RS 907-28","Amadeus 77","Sinuapa Ocotepeque","F",30,NA,-89.21310425,14.4200504,"2015-10-10","2016-01-10","No","Yes","plain","B","C","B","C",NA,NA,NA,NA,NA,NA,"B","A","B","A","B","A","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_133",47603,"El Moral","paquete 204","RS 909-35","SJC 730-79","ALS 0532-6","Sinuapa Ocotepeque","F",43,NA,-89.2048645,14.41606028,"2015-10-10","2016-01-06","No","Yes","medium","C","A","C","B",NA,NA,NA,NA,NA,NA,"C","A","C","A","B","A","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_135",47432,"El Moral","paquete 212","RRH 336-28","SRS2-36-34","Amadeus 77","Sinuapa Ocotepeque","M",53,NA,-89.20623779,14.42803042,"2015-10-10","2016-01-14","No","Yes","medium","A","C","A","C",NA,NA,NA,NA,NA,NA,"A","B","A","C","A","C","A","C","Better","Better","Worse"
"honduras_salvador_rojo_2015_14",22349,"San Francisco Cones","paquete 150","RS 909-35","SJC 730-79","BRT 103- 182","Sensenti","F",33,NA,-88.92608643,14.49850815,"2015-09-20","2015-11-30","No","Yes","medium","A","C","A","C",NA,NA,"A","C",NA,NA,"A","C","A","C",NA,NA,"A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_142",33590,"Rodeo","paquete 60","Seda","ALS 0532-6","Amadeus 77","Masahuat","F",56,NA,NA,NA,"2015-09-25","2015-12-10","No","Yes","medium","C","A","C","A",NA,NA,"C","B",NA,NA,"C","B","B","C","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_143",33608,"Rodeo","paquete 61","SRS2-36-34","RS 909-35","SJC 730-79","Masahuat","M",53,NA,NA,NA,"2015-09-25","2015-12-09","No","Yes","plain","A","B","A","B","A","B","A","B",NA,NA,"A","C","A","C","C","A","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_144",33617,"Rodeo","paquete 62","RS 907-28","BRT 103- 182","RRH 336-28","Masahuat","M",19,734.5074463,-89.39975768,14.18737179,"2015-09-25","2015-12-15","No","Yes","medium","B","C","B","C","B","C","B","C",NA,NA,"B","A","A","B","B","A","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_145",33680,"Rodeo","paquete 68","RRH 336-28","SRS2-36-34","RS 909-35","Masahuat","M",31,NA,NA,NA,"2015-09-24","2015-12-20","No","Yes","medium","A","C","A","C",NA,NA,"A","C",NA,NA,"C","A","A","C","B","C","B","C","Worse","Worse","Worse"
"honduras_salvador_rojo_2015_146",33770,"Rodeo","paquete 72","Amadeus 77","RS 909-35","RS 907-28","Masahuat","M",35,NA,NA,NA,"2015-09-25","2015-12-09","No","Yes","medium","C","B","B","A",NA,NA,"C","A","C","A","C","B","C","B","B","C","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_148",33644,"Rodeo","paquete 65","SRS2-36-34","RS 907-28","RRH 336-28","Masahuat","M",42,NA,NA,NA,"2015-09-24","2015-12-17","No","Yes","medium","B","A","B","A","B","A","B","A",NA,NA,"B","C","C","B","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_15",21962,"San Francisco Cones","paquete 141","RS 907-28","Seda","RRH 336-28","Sensenti","F",65,NA,-88.92608643,14.50914435,"2015-09-11","2015-11-30","No","Yes","plain","C","A","C","A",NA,NA,NA,NA,NA,NA,"B","C","B","C","B","A","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_150",33806,"Rodeo","paquete 73","BRT 103- 182","Seda","MHR 311-17","Masahuat","M",36,NA,NA,NA,"2015-09-27",NA,"No","Yes","medium","B","C","B","C",NA,NA,"B","A","A","B","B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_151",33752,"Rodeo","paquete 71","RRH 336-28","SJC 730-79","SRS2-36-34","Masahuat","M",32,NA,NA,NA,"2015-09-26","2015-12-16","No","Yes","medium","C","A","C","A","C","A","C","A",NA,NA,"C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_152",33662,"Rodeo","paquete 69","RS 907-28","Amadeus 77","BRT 103- 182","Masahuat","M",59,NA,NA,NA,"2015-09-24","2015-12-13","No","Yes","plain","A","C","B","C","C","B","C","A","B","A","C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_154",33824,"Rodeo","paquete 74","ALS 0532-6","SJC 730-79","SRS2-36-34","Masahuat","M",77,628.8972168,-89.4070962,14.18828712,"2015-09-26","2015-12-03","No","Yes","plain","B","A","C","B","C","A","C","A","C","B","C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_157",31961,"Chilin de Argueta","paquete 93","SJC 730-79","MHR 311-17","Seda","Masahuat","M",21,NA,NA,NA,"2015-09-29","2015-12-28","No","Yes","medium","B","A","B","C","C","A","C","A",NA,NA,"C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_158",32294,"Chilin de Argueta","paquete 103","RS 909-35","RS 907-28","MHR 311-17","Masahuat","M",24,NA,NA,NA,"2015-10-02","2015-12-26","No","Yes","medium","B","A","B","A",NA,NA,NA,NA,NA,NA,"B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_161",31907,"Chilin de Argueta","paquete 90","MHR 311-17","SJC 730-79","ALS 0532-6","Masahuat","M",30,NA,NA,NA,"2015-10-28","2016-01-12","No","Yes","medium","B","A","B","A",NA,NA,"B","A","B","A","B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_163",32276,"Chilin de Argueta","paquete 101","Amadeus 77","RRH 336-28","SJC 730-79","Masahuat","M",63,NA,NA,NA,"2015-09-21","2015-12-01","No","Yes","medium","A","C","A","C","A","C","A","C",NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_164",32186,"Chilin de Argueta","paquete 98","Amadeus 77","SRS2-36-34","RRH 336-28","Masahuat","M",23,NA,NA,NA,"2015-09-25","2015-12-16","No","Yes","medium","B","A","A","C",NA,NA,NA,NA,NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_165",31925,"Chilin de Argueta","paquete 91","Amadeus 77","RS 907-28","SRS2-36-34","Masahuat","M",33,NA,NA,NA,"2015-09-23","2015-12-06","No","Yes","medium","A","C","A","C","A","C","A","C",NA,NA,"A","B","A","B","B","A","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_166",32267,"Chilin de Argueta","paquete 100","ALS 0532-6","MHR 311-17","RS 907-28","Masahuat","M",31,NA,NA,NA,"2015-09-27","2015-12-08","No","Yes","medium","B","C","B","C",NA,NA,"B","C",NA,NA,"B","A","B","A","B","A","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_167",32069,"Chilin de Argueta","paquete 93","SJC 730-79","MHR 311-17","Seda","Masahuat","M",29,NA,NA,NA,"2015-09-26","2015-12-09","No","Yes","plain","C","A","C","A",NA,NA,NA,NA,"C","B","A","C","A","C","A","C","A","B","Better","Worse","Better"
"honduras_salvador_rojo_2015_168",31943,"Chilin de Argueta","paquete 92","RRH 336-28","RS 909-35","BRT 103- 182","Masahuat","M",40,NA,NA,NA,"2015-09-27","2015-12-18","No","Yes","medium","B","C","A","C",NA,NA,NA,NA,NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_169",32096,"Chilin de Argueta","paquete 96","BRT 103- 182","Seda","MHR 311-17","Masahuat","M",35,NA,NA,NA,"2015-10-02","2015-12-27","No","Yes","plain","C","B","C","B",NA,NA,NA,NA,"A","C","C","A","C","A","C","A","C","B","Worse","Worse","Better"
"honduras_salvador_rojo_2015_171",32348,"Chilin de Argueta","paquete 102","BRT 103- 182","Seda","SRS2-36-34","Masahuat","M",60,NA,NA,NA,"2015-10-20","2016-01-08","No","Yes","plain","A","B","A","B","A","C","A","C",NA,NA,"A","B","A","B","B","A","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_172",31646,"Carrizal","paquete 75","RRH 336-28","Amadeus 77","RS 907-28","Masahuat","M",23,NA,NA,NA,"2015-09-26","2015-12-22","No","Yes","medium","C","A","C","A","C","B","C","B",NA,NA,"C","A","C","A","C","A","C","B","Worse","Worse","Better"
"honduras_salvador_rojo_2015_173",31655,"Carrizal","paquete 76","MHR 311-17","RS 909-35","BRT 103- 182","Masahuat","M",20,NA,NA,NA,"2015-09-26","2015-12-16","No","Yes","medium","B","A","C","A","B","A","B","A",NA,NA,"B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_175",31691,"Carrizal","paquete 78","SJC 730-79","RS 907-28","RRH 336-28","Masahuat","M",29,NA,NA,NA,"2015-09-26","2015-12-10","No","Yes","plain","C","A","C","A","C","A","C","A",NA,NA,"C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_177",31718,"Carrizal","paquete 80","ALS 0532-6","Seda","MHR 311-17","Masahuat","M",24,NA,NA,NA,"2015-09-25","2015-12-06","No","Yes","medium","B","A","B","A",NA,NA,"B","C",NA,NA,"B","A","B","A","B","A","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_178",31727,"Carrizal","paquete 81","SJC 730-79","RS 907-28","SRS2-36-34","Masahuat","M",40,NA,NA,NA,"2015-09-26",NA,"No","Yes","medium","B","C","B","C","B","A","B","A","C","B","C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_181",31772,"Carrizal","paquete 84","ALS 0532-6","RS 907-28","SJC 730-79","Masahuat","M",36,NA,NA,NA,"2015-09-25","2015-12-08","No","Yes","medium","B","C","A","C","A","C","A","C",NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_182",31790,"Carrizal","paquete 85","BRT 103- 182","SRS2-36-34","RRH 336-28","Masahuat","M",33,NA,NA,NA,"2015-09-26","2015-12-02","No","Yes","plain","A","C","A","C",NA,NA,"B","A",NA,NA,"B","C","B","C","B","C","B","A","Worse","Better","Worse"
